iteration,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score,p1score,p2score
0,90,110,100,100,90,90,100,80,90,70,80,80,70,70,80,60,70,50,60,40
1,110,90,100,100,90,90,100,80,90,90,100,100,90,110,80,100,70,90,60,80
2,90,90,100,80,90,70,80,80,70,70,80,60,70,50,60,60,50,50,60,40
3,90,90,80,80,90,70,80,60,90,50,80,40,70,50,80,40,90,50,80,40
4,110,110,120,100,110,90,100,80,90,90,80,80,90,70,80,60,70,70,80,60
5,90,90,80,100,70,110,80,100,90,90,100,80,110,70,120,80,130,90,120,80
6,90,110,100,120,90,130,80,140,70,150,80,140,70,130,60,120,50,110,40,100
7,90,90,80,80,70,70,60,60,50,70,60,60,50,50,60,60,70,50,80,60
8,110,90,100,80,110,90,120,80,110,70,100,60,90,50,80,60,70,50,80,60
9,90,110,80,100,70,110,60,100,70,90,80,80,90,70,80,80,90,70,100,60
10,110,90,120,80,110,70,100,60,110,50,120,40,110,50,100,40,110,30,120,20
11,90,90,100,80,90,90,100,100,90,90,100,80,90,90,100,100,110,90,100,80
12,90,90,80,80,90,70,80,60,70,50,60,60,70,50,60,40,50,30,40,20
13,110,90,100,80,110,90,100,80,90,70,100,80,90,90,80,80,70,70,60,80
14,110,90,120,100,130,110,120,100,110,90,100,80,110,70,100,60,110,50,120,40
15,90,90,80,80,70,70,80,80,70,70,60,80,50,70,40,60,50,70,40,60
16,90,90,100,100,110,110,100,100,90,90,100,80,90,90,80,80,90,70,100,80
17,90,110,100,120,90,130,100,120,90,110,100,100,110,90,100,80,90,90,80,80
18,110,90,100,80,90,90,80,100,90,110,100,100,90,90,80,100,70,90,80,100
19,110,90,100,80,90,70,100,80,90,90,80,80,70,90,60,80,50,90,40,100
20,110,110,100,120,110,110,100,120,110,110,100,100,90,90,80,100,90,90,100,80
21,90,90,100,100,90,90,80,80,70,70,60,60,70,70,60,80,50,90,40,100
22,110,90,100,100,90,90,100,80,90,70,100,60,110,50,100,40,90,50,100,40
23,90,110,80,120,70,110,60,100,50,90,40,100,50,90,60,80,70,90,60,80
24,90,110,100,100,110,110,100,100,110,90,100,80,110,70,100,60,90,70,80,80
25,90,110,80,120,70,110,80,120,90,110,80,100,70,90,60,80,70,70,60,60
26,90,110,100,100,90,110,100,100,110,110,120,120,130,110,120,100,110,90,100,80
27,90,90,80,80,90,90,80,80,70,90,60,100,70,110,60,100,50,90,40,80
28,90,90,100,80,90,90,80,80,90,70,80,80,70,70,60,60,50,50,60,40
29,90,90,80,100,70,90,60,100,50,90,40,80,30,70,20,60,10,50,0,40
30,110,90,120,80,130,70,140,60,130,50,140,60,130,50,120,40,110,30,100,40
31,110,90,100,80,90,90,80,80,70,70,80,60,90,50,80,60,70,50,80,40
32,90,110,80,100,90,90,80,80,70,90,60,100,50,110,40,100,50,110,40,120
33,90,110,80,100,70,90,60,80,50,70,60,60,70,70,60,60,50,70,60,80
34,110,90,100,80,110,90,100,100,90,90,100,100,90,90,80,100,70,90,80,80
35,90,110,80,120,70,110,60,100,50,110,40,100,30,90,20,80,30,70,20,60
36,90,110,80,100,90,90,100,80,110,90,100,80,90,90,100,80,110,90,120,80
37,90,90,80,80,70,70,80,80,70,70,80,80,90,90,80,80,90,70,80,80
38,90,110,100,100,90,90,80,100,70,90,80,80,90,90,80,80,70,70,60,60
39,110,90,120,80,110,70,120,60,130,50,120,40,110,50,100,60,90,70,100,80
40,110,110,100,100,110,110,120,100,110,90,100,80,90,70,80,80,90,70,100,60
41,90,90,80,80,70,70,60,60,50,50,40,40,30,30,20,20,10,10,20,20
42,90,90,80,80,90,70,80,60,70,70,60,60,50,50,60,60,50,50,40,60
43,90,110,80,100,70,90,80,80,70,70,60,60,50,50,40,60,30,50,40,60
44,90,90,100,80,90,70,80,80,70,70,80,60,70,70,80,60,90,70,80,60
45,90,90,80,80,70,70,80,80,90,70,100,80,90,70,80,80,90,70,80,60
46,90,110,100,100,110,90,120,100,110,90,100,80,90,70,100,60,90,50,80,60
47,110,90,100,80,90,70,80,60,90,50,80,40,70,30,80,20,70,10,60,20
48,90,90,80,100,70,90,60,100,50,90,40,80,30,70,20,60,10,70,0,60
49,90,110,100,120,90,110,100,120,90,110,80,100,70,90,60,80,50,70,60,60
50,90,90,80,80,70,90,80,100,70,90,60,100,50,110,40,100,30,90,20,100
51,90,110,100,100,90,90,80,100,90,90,80,80,90,90,80,80,70,70,80,60
52,90,90,80,80,70,70,60,60,50,70,40,60,30,70,20,80,30,90,20,80
53,90,110,100,120,90,110,80,100,90,90,80,100,70,90,80,80,70,70,80,60
54,110,110,100,120,90,110,100,120,90,130,80,120,70,130,60,140,70,130,60,120
55,90,110,80,120,70,110,60,100,70,90,60,80,50,70,40,60,30,70,20,80
